1,Savannah,Nairobi,8000,4,"Savannah Garden is B&B set in 5 acres of land. Situated about 11km from Nairobi City, the resort is ideal alternative to a night in a city hotel offering tranquility, serene environment with beautiful gardens for romantic walks. Airport Transfers, Lovely Breakfast, very close to Nairobi National park, Carnivore Restaurant expect a luxury and first class service.",https://plus.unsplash.com/premium_photo-1661676056771-f6c2711249e0?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
2,Paradise,Nairobi,15000,3,"This beautifully manicured park is a paradise away from Nairobi's hustle and bustle. Here, you can stroll around the park grounds, explore a cave and waterfall, have a lakeside picnic, go zip-lining and quad-biking, enjoy a boat or horseback ride, and even camp overnight. There's also a playground where the kids can have fun at and a restaurant to stop at for lunch. There's an admission fee to enter the park and some individual activities are ticketed as well. There are also tours available that will take you through all of the park's highlights.",https://images.unsplash.com/photo-1542314831-068cd1dbfeeb?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
3,Baobab,Diani,20000,5,"Located on the world famous Diani Beach. The resort comprises three luxurious properties � The Baobab, The Maridadi and Kole Kole, offering a unique selection of exquisite accommodation and facilities spread across the resort grounds. Guestrooms have been specifically designed to provide paramount comfort and luxury for all our clients. Guests may utilise leisure facilities across the resort including 3 swimming pools, dining areas and much more.",https://plus.unsplash.com/premium_photo-1678297269980-16f4be3a15a6?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
4,Swahili,Mombasa,25000,4,"Swahili Beach is much more than meets the eye. Culture and history provide its very soul. From the architecture and the aromas to the music, it teases the senses",https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
5,Diani,Diani,30000,4,"Anyone who travels to Coast is looking for a relaxing vacation trip, wants to explore the amazing landscape with its fascinating animals and plants and wants to get to know the culture. A dhow tour to Wasini Island combines all these things in a one day trip.",https://images.unsplash.com/photo-1618773928121-c32242e63f39?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
6,Travel Tamaro Adventures,Diani,35000,5,"We at Travel Tamaro Adventures we offer tailor made safaris and we give personalized services to our clients , we value our clients feed back.Our mission is to provide first hand information to Traveller's to make it easier for them to plan for their holiday destination. we give information about the best hotels to stay for holidays.",https://images.unsplash.com/photo-1445019980597-93fa8acb246c?q=80&w=2074&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
7,Riverside Suites,Nairobi,6000,3,We offer among  the best Hotel services suited within Nairobi CBD. Prices are very affordable and only a 30 minutes trip to the airport. Convinience matters especially if you business is within the Nairobi City.,https://images.unsplash.com/photo-1611892440504-42a792e24d32?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
8,Silver Palm Spa & Resort,Kilifi,30000,4,"Encounter sheer, unpretentious paradise in this 38 room resort opened in April 2017 and owned by a Kenyan family. In each of the 38 rooms, tasteful art by a Kenyan painter hangs above furniture by local carpenters, each hand picked or approved by the owners in support of the local community. As champions for the environment and sustainability, their ethos carries through to the materials used in construction. Living areas are intentionally made comfortable, spacious and private with all the desired trappings of a home away from home, while maintaining a harmonious balance with nature.",https://images.unsplash.com/photo-1445991842772-097fea258e7b?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
9,Baobab Sea Lodge,Kilifi,27000,5,"Baobab Sea Lodge is a charming resort offering air conditioning in the rooms, and it is easy to stay connected during your stay as free wifi is offered to guests. The resort features room service. Plus, guests can enjoy a pool and an on-site restaurant, which have made this a popular choice among travelers visiting Kilifi. For guests with a vehicle, free parking is available.",https://images.unsplash.com/photo-1444201983204-c43cbd584d93?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
10,African House Resort,Malindi,25000,4,"African House Resort, a jewel of its kind within the coastal region with 7 superior double rooms only featuring columns and art, sits on a very quiet and peaceful 1.5 acres. African House Resort is immersed in a beautiful tropical garden dotted with tall palms and beautiful plants. There is a special relaxing atmosphere where you will feel spoiled and enjoy the comfort and privacy of a friend's home.",https://plus.unsplash.com/premium_photo-1678286770016-6306ad61df9b?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
